Lenna   ,512,512,,,,,,,,,,,,,,,,,,,,,,,,,
BlockSize,k,Alpha,ClusteringTime,MiningTime,EncodingTime,CompressionTime,DecompressionTime,ClusterTableSize,CodeTableSize,EncodedImageSize,CompressedSize,ActualSize,JPEG Size,GIF Size,JPEG Cr,GIF Cr,Our Cr,CRP Actual,CRP JPEG,CRP GIF,PSNR,MSE,NormalisedCrossRelation,MaxDiff,AvgDiff,NormalisedAbsoluteError,StructuralContent
32,28,30,7.3288271427,18.006896019,1.7136838436,27.550549984,0.662940979,34.944,3.9605,520.399,559.3035,786.6,404,226,1.947029703,3.4805309735,1.4063920573,28.896071701,-38.441460396,-147.479424779,52.4869148741,341.6666666667,9.4024467494667E-06,7,0.205078125,0.0029942767,1.0024732742
32,28,50,7.2595751286,9.0554180145,1.1447989941,17.8847329617,0.6709778309,34.944,1.9136666667,501.777,538.634666667,786.6,404,226,1.947029703,3.4805309735,1.4603590312,31.5236884482,-33.3254125413,-138.333923304,52.4869148741,341.6666666667,9.4024467494667E-06,7,0.205078125,0.0029942767,1.0024732742
32,32,10,7.3805999756,44.5028340816,2.7265589237,55.040117979,0.6682651043,43.008,9.2778333333,516.659,568.944833333,786.6,404,226,1.947029703,3.4805309735,1.3825593518,27.670374608,-40.8279290429,-151.745501475,52.1040930084,355,9.28305060026712E-06,12,0.2024739583,0.0028201148,1.0024973922
32,32,30,7.3862910271,19.6848909855,1.8370661736,29.2991518974,0.6581089497,43.008,4.1963333333,531.786,578.990333333,786.6,404,226,1.947029703,3.4805309735,1.3585719048,26.393296042,-43.3144389439,-156.190412979,52.1040930084,355,9.28305060026712E-06,12,0.2024739583,0.0028201148,1.0024973922
32,32,50,7.4237971306,7.5645520687,1.1914489269,16.6041009426,0.7552218437,43.008,1.52,513.677,558.205,786.6,404,226,1.947029703,3.4805309735,1.4091597173,29.0357233664,-38.1695544554,-146.993362832,52.1040930084,355,9.28305060026712E-06,12,0.2024739583,0.0028201148,1.0024973922
64,8,10,3.5459671021,8.1241950989,1.0545949936,13.1267271042,0.7026381493,2.304,15.4833333333,253.318,271.105333333,786.6,404,226,1.947029703,3.4805309735,2.9014552769,65.5345368252,32.8947194719,-19.9581120944,22.4305718168,6901.3333333333,3.05654141950918E-05,44,0.6666666667,0.0043201924,1.0072673032
64,8,30,3.5302639008,1.8760340214,0.5215940475,6.3754639626,0.6656081676,2.304,3.2903333333,254.849,260.443333333,786.6,404,226,1.947029703,3.4805309735,3.020234728,66.8899906772,35.5338283828,-15.2404129794,22.4305718168,6901.3333333333,3.05654141950918E-05,44,0.6666666667,0.0043201924,1.0072673032
64,8,50,3.5382390022,1.0770349503,0.3588738441,5.3668439388,0.7338590622,2.304,1.3141666667,274.761,278.379166667,786.6,404,226,1.947029703,3.4805309735,2.825642484,64.6098186287,31.0942656766,-23.1766224189,22.4305718168,6901.3333333333,3.05654141950918E-05,44,0.6666666667,0.0043201924,1.0072673032
64,12,10,4.6084370613,14.7158930302,1.5884859562,21.3477621078,0.6810700893,3.456,13.6988333333,325.613,342.767833333,786.6,404,226,1.947029703,3.4805309735,2.294847776,56.4241249258,15.1564768977,-51.6671828909,34.3728881695,2090.6666666667,2.29837587209186E-05,17,0.5013020833,0.0041885777,1.0059513479
64,12,30,4.5963149071,3.6083118916,0.7429358959,9.4352869988,0.6643280983,3.456,2.8768333333,347.658,353.990833333,786.6,404,226,1.947029703,3.4805309735,2.2220914383,54.9973514705,12.3785066007,-56.6331120944,34.3728881695,2090.6666666667,2.29837587209186E-05,17,0.5013020833,0.0041885777,1.0059513479
